subject	opponent	level	statistic	delta	ci_lo	ci_hi	p	q	significant
cabid_sym	bitdensity	family	r99	0.010907407516255185	-0.03419385640309428	0.04773112291860825	0.77	0.7919999999999999	False
cabid_sym	bitdensity	family	auprc	0.06664817223653563	0.05901338132443154	0.07468560526986955	0.001	0.0018947368421052633	True
cabid_sym	bitdensity	superfamily	r99	-0.0001815144976562294	-0.03273901915044576	0.022153704326154097	0.754	0.7919999999999999	False
cabid_sym	bitdensity	superfamily	auprc	0.041044696390706015	0.028606674016716075	0.053040556229612186	0.001	0.0018947368421052633	True
cabid_sym	cabid	family	r99	0.01164304320055376	-0.010083587714048626	0.029859799746484887	0.476	0.5618360655737704	False
cabid_sym	cabid	family	auprc	0.008379095506098388	0.006408523054214149	0.01060765964525325	0.001	0.0018947368421052633	True
cabid_sym	cabid	superfamily	r99	0.01780263682949057	-0.007901992630551425	0.02161122344560387	0.54	0.5981538461538461	False
cabid_sym	cabid	superfamily	auprc	0.014006216300039065	0.010468883683243642	0.01829767328354299	0.001	0.0018947368421052633	True
cabid_sym	bitdensity_tgt	family	r99	0.057887447543235326	0.024198551309881793	0.11165209036550204	0.002	0.0036000000000000003	True
cabid_sym	bitdensity_tgt	family	auprc	0.06879333917684849	0.06024226277313394	0.07698028780844934	0.001	0.0018947368421052633	True
cabid_sym	bitdensity_tgt	superfamily	r99	0.03316538971658134	-0.0022405387640119317	0.04795079196218305	0.074	0.1044705882352941	False
cabid_sym	bitdensity_tgt	superfamily	auprc	0.07366190431363379	0.06110230608250069	0.08566464073909194	0.001	0.0018947368421052633	True
cabid_sym	bits	family	r99	0.22249686742118913	0.16070538735227674	0.25765671416402897	0.001	0.0018947368421052633	True
cabid_sym	bits	family	auprc	0.028321466435720866	0.022192398582612582	0.034975164739962934	0.001	0.0018947368421052633	True
cabid_sym	bits	superfamily	r99	0.06539826894720126	0.04241108815213891	0.08099827635534582	0.001	0.0018947368421052633	True
cabid_sym	bits	superfamily	auprc	0.019007532604384314	0.009635431156953632	0.029348715646611408	0.001	0.0018947368421052633	True
cabid_sym	foldseek_tm	family	r99	0.05569540945482937	0.013584095862215807	0.15079261550269704	0.006	0.009818181818181818	True
cabid_sym	foldseek_tm	family	auprc	0.014103157879598482	0.004737903287393219	0.023362449705236783	0.004	0.006697674418604652	True
cabid_sym	foldseek_tm	superfamily	r99	0.025578066712794847	-0.008370127459863347	0.07120065521896887	0.246	0.3220363636363636	False
cabid_sym	foldseek_tm	superfamily	auprc	-0.027911246476374107	-0.04399883258871383	-0.010093483131319646	0.001	0.0018947368421052633	True
cabid_sym	tmalign	family	r99	0.1322711845376725	0.047277968130632515	0.19747021982759216	0.001	0.0018947368421052633	True
cabid_sym	tmalign	family	auprc	0.023740926830497222	0.01299723495416287	0.03511165479831112	0.001	0.0018947368421052633	True
cabid_sym	tmalign	superfamily	r99	0.05314781181804159	0.006139726871842064	0.07535694995911896	0.022	0.03443478260869565	True
cabid_sym	tmalign	superfamily	auprc	-0.006165178060382304	-0.024163555901543586	0.012391060344048688	0.516	0.5981538461538461	False
cabid	cabid_sym	family	r99	-0.01164304320055376	-0.02985979974648489	0.010083587714048624	0.476	0.5618360655737704	False
cabid	cabid_sym	family	auprc	-0.008379095506098388	-0.01060765964525325	-0.00640852305421415	0.001	0.0018947368421052633	True
cabid	cabid_sym	superfamily	r99	-0.01780263682949057	-0.02161122344560387	0.007901992630551425	0.54	0.5981538461538461	False
cabid	cabid_sym	superfamily	auprc	-0.014006216300039065	-0.018297673283542995	-0.010468883683243642	0.001	0.0018947368421052633	True
cabid	bitdensity	family	r99	-0.0007356356842985745	-0.045958111386468284	0.03974275625407482	0.958	0.958	False
cabid	bitdensity	family	auprc	0.05826907673043724	0.050626042799579905	0.06682966903773799	0.001	0.0018947368421052633	True
cabid	bitdensity	superfamily	r99	-0.0179841513271468	-0.038113800665431165	0.019277085031976428	0.474	0.5618360655737704	False
cabid	bitdensity	superfamily	auprc	0.02703848009066695	0.01539482886554223	0.038919367967863557	0.001	0.0018947368421052633	True
cabid	bitdensity_tgt	family	r99	0.046244404342681567	0.017387434119103696	0.09932832664843325	0.002	0.0036000000000000003	True
