a	model	nth	tp_pooled
0.625	sym_mean	6	11972
0.65	sym_mean	6	12620
0.675	sym_mean	6	13282
0.7	sym_mean	6	13959
0.725	sym_mean	6	14638
0.75	sym_mean	6	15119
0.775	sym_mean	6	15739
0.8	sym_mean	6	16233
0.825	sym_mean	6	16916
0.85	sym_mean	6	17212
0.875	sym_mean	6	15863
0.9	sym_mean	6	15003
0.925	sym_mean	6	13115
0.95	sym_mean	6	11425
0.975	sym_mean	6	9863
1.0	sym_mean	6	8463
1.1	sym_mean	6	3618
1.2	sym_mean	6	1435
1.3	sym_mean	6	480
1.4	sym_mean	6	114
1.5	sym_mean	6	15
0.0	sym_min	1	3851
0.1	sym_min	1	4364
0.2	sym_min	1	5120
0.3	sym_min	1	5639
0.4	sym_min	1	6407
0.5	sym_min	1	7549
0.525	sym_min	1	7899
0.55	sym_min	1	8261
0.575	sym_min	1	8661
0.6	sym_min	1	9063
0.625	sym_min	1	9517
0.65	sym_min	1	9978
0.675	sym_min	1	9515
0.7	sym_min	1	8615
0.725	sym_min	1	7810
0.75	sym_min	1	7014
0.775	sym_min	1	6256
0.8	sym_min	1	5625
0.825	sym_min	1	5004
0.85	sym_min	1	4430
0.875	sym_min	1	3867
0.9	sym_min	1	3366
0.925	sym_min	1	2915
0.95	sym_min	1	2515
0.975	sym_min	1	2155
1.0	sym_min	1	1816
1.1	sym_min	1	843
1.2	sym_min	1	357
1.3	sym_min	1	164
1.4	sym_min	1	20
1.5	sym_min	1	0
0.0	sym_min	2	3978
0.1	sym_min	2	4549
0.2	sym_min	2	5152
0.3	sym_min	2	6166
0.4	sym_min	2	7102
0.5	sym_min	2	8481
0.525	sym_min	2	8905
0.55	sym_min	2	9318
0.575	sym_min	2	9774
0.6	sym_min	2	10249
0.625	sym_min	2	10759
0.65	sym_min	2	10520
0.675	sym_min	2	10478
0.7	sym_min	2	11031
0.725	sym_min	2	11616
0.75	sym_min	2	12223
0.775	sym_min	2	12885
0.8	sym_min	2	11903
0.825	sym_min	2	10922
0.85	sym_min	2	9965
0.875	sym_min	2	9105
0.9	sym_min	2	8332
0.925	sym_min	2	7583
0.95	sym_min	2	6834
0.975	sym_min	2	6188
1.0	sym_min	2	5549
1.1	sym_min	2	3072
1.2	sym_min	2	1087
1.3	sym_min	2	246
1.4	sym_min	2	21
1.5	sym_min	2	0
0.0	sym_min	3	4700
0.1	sym_min	3	4934
0.2	sym_min	3	5329
0.3	sym_min	3	6336
0.4	sym_min	3	7249
0.5	sym_min	3	8564
0.525	sym_min	3	8955
0.55	sym_min	3	9351
0.575	sym_min	3	9790
0.6	sym_min	3	10251
0.625	sym_min	3	10788
0.65	sym_min	3	11315
0.675	sym_min	3	11880
0.7	sym_min	3	12500
0.725	sym_min	3	13146
0.75	sym_min	3	13780
0.775	sym_min	3	12982
0.8	sym_min	3	13506
0.825	sym_min	3	14192
0.85	sym_min	3	14684
0.875	sym_min	3	13025
0.9	sym_min	3	11510
0.925	sym_min	3	10066
0.95	sym_min	3	8752
0.975	sym_min	3	7611
1.0	sym_min	3	6483
1.1	sym_min	3	3305
1.2	sym_min	3	1234
1.3	sym_min	3	258
1.4	sym_min	3	81
1.5	sym_min	3	4
0.0	sym_min	4	4766
0.1	sym_min	4	5114
0.2	sym_min	4	5535
0.3	sym_min	4	6337
0.4	sym_min	4	7671
0.5	sym_min	4	9104
0.525	sym_min	4	9522
0.55	sym_min	4	9983
0.575	sym_min	4	10433
0.6	sym_min	4	10965
0.625	sym_min	4	11504
0.65	sym_min	4	11368
0.675	sym_min	4	11960
0.7	sym_min	4	12624
0.725	sym_min	4	13302
0.75	sym_min	4	13968
0.775	sym_min	4	14448
0.8	sym_min	4	15181
0.825	sym_min	4	15932
0.85	sym_min	4	14952
0.875	sym_min	4	14258
0.9	sym_min	4	12594
0.925	sym_min	4	11024
0.95	sym_min	4	9610
0.975	sym_min	4	8253
1.0	sym_min	4	7111
1.1	sym_min	4	3316
1.2	sym_min	4	1263
1.3	sym_min	4	419
1.4	sym_min	4	86
1.5	sym_min	4	8
0.0	sym_min	5	4769
0.1	sym_min	5	5131
0.2	sym_min	5	5647
0.3	sym_min	5	6591
0.4	sym_min	5	7700
0.5	sym_min	5	9170
0.525	sym_min	5	9611
0.55	sym_min	5	10090
0.575	sym_min	5	10556
0.6	sym_min	5	11115
0.625	sym_min	5	11566
0.65	sym_min	5	12075
0.675	sym_min	5	12716
0.7	sym_min	5	13369
0.725	sym_min	5	14018
0.75	sym_min	5	14072
0.775	sym_min	5	14700
0.8	sym_min	5	15484
0.825	sym_min	5	16336
0.85	sym_min	5	16141
0.875	sym_min	5	15037
0.9	sym_min	5	13299
0.925	sym_min	5	11692
0.95	sym_min	5	10187
0.975	sym_min	5	8816
1.0	sym_min	5	7612
1.1	sym_min	5	3429
1.2	sym_min	5	1296
1.3	sym_min	5	432
1.4	sym_min	5	102
1.5	sym_min	5	9
0.0	sym_min	6	4886
0.1	sym_min	6	5224
0.2	sym_min	6	5737
0.3	sym_min	6	6613
0.4	sym_min	6	7976
0.5	sym_min	6	9844
0.525	sym_min	6	10401
0.55	sym_min	6	10976
0.575	sym_min	6	11599
0.6	sym_min	6	12270
0.625	sym_min	6	11701
0.65	sym_min	6	12316
0.675	sym_min	6	12969
0.7	sym_min	6	13649
0.725	sym_min	6	14317
0.75	sym_min	6	14697
0.775	sym_min	6	15423
0.8	sym_min	6	16212
0.825	sym_min	6	16540
0.85	sym_min	6	16499
0.875	sym_min	6	15701
0.9	sym_min	6	14840
0.925	sym_min	6	12866
0.95	sym_min	6	11045
0.975	sym_min	6	9384
1.0	sym_min	6	7876
1.1	sym_min	6	3642
1.2	sym_min	6	1469
1.3	sym_min	6	493
1.4	sym_min	6	117
1.5	sym_min	6	12
