cv_fold	a	model	level	auprc	max_recall	recall@P99	recall@P95	recall@P90	tp_before_1st_global_fp
3	0.0	Xa_ktcov	fold	0.0204744227514908	0.8195665288484618	4.018323555412682e-05	4.018323555412682e-05	4.018323555412682e-05	1416
3	0.0	Xa_ktcov	superfamily	0.4023420049911877	0.9028496086758876	0.0381013433473739	0.1245069683610664	0.1991835108699891	1416
3	0.0	sym_max	family	0.79094962093477	0.9498506766053396	0.406220450648974	0.6380388210930028	0.7062939170342086	1394
3	0.0	sym_max	fold	0.0198342362924688	0.8195665288484835	4.018323555412682e-05	4.018323555412682e-05	4.018323555412682e-05	1394
3	0.0	sym_max	superfamily	0.4023915967287491	0.9028496086758884	0.0383859823658238	0.1231534907460685	0.1919617969463828	1394
3	0.0	sym_mean	family	0.7950914196513399	0.9498506766053396	0.4078790196605412	0.6391735316423763	0.7088808137772135	1414
3	0.0	sym_mean	fold	0.022297642435179	0.8195665288484831	4.018323555412682e-05	4.018323555412682e-05	4.018323555412682e-05	1414
3	0.0	sym_mean	superfamily	0.4093948456691094	0.9028496086758898	0.0382682316252419	0.1261047757834786	0.1973128166726797	1414
3	0.0	sym_min	family	0.7967596688882376	0.9498506766053396	0.4080508604646012	0.638024116816011	0.7133231432868888	1408
3	0.0	sym_min	fold	0.0237236473652313	0.8195665288484885	4.018323555412682e-05	4.018323555412682e-05	4.018323555412682e-05	1408
3	0.0	sym_min	superfamily	0.4119920302404307	0.9028496086758896	0.0383080399588938	0.1259485636281577	0.2060635250928126	1408
4	0.0	Xa	family	0.7826142974716962	0.9546354697387864	0.4010807557734485	0.6284505437460133	0.6936850971175751	1479
4	0.0	Xa	fold	0.0239580341038065	0.8273859860138829	4.168577264579599e-05	4.168577264579599e-05	4.168577264579599e-05	1479
4	0.0	Xa	superfamily	0.3908118585665338	0.9096331114720309	0.0420284536664056	0.1236750709560303	0.2166618062801516	1479
4	0.0	Xa_cov70	family	0.7319796162058361	0.9546354697387888	0.3891252019999351	0.6291035060587729	0.6787973174255466	1456
4	0.0	Xa_cov70	fold	0.0304082365473134	0.8273859860139003	4.168577264579599e-05	4.168577264579599e-05	4.168577264579599e-05	1456
4	0.0	Xa_cov70	superfamily	0.3648127957592659	0.9096331114720364	0.0398205288220641	0.1170169918629067	0.2091055724932671	1456
4	0.0	Xa_ktcov	family	0.7902869495071848	0.9546354697387868	0.400034060676411	0.6488294430590217	0.7105695460327727	1497
4	0.0	Xa_ktcov	fold	0.028859405501142	0.8273859860138376	4.168577264579599e-05	4.168577264579599e-05	4.168577264579599e-05	1497
4	0.0	Xa_ktcov	superfamily	0.4038169777605699	0.909633111472033	0.0416959017612942	0.1257895058330056	0.2350946875926273	1497
4	0.0	sym_max	family	0.789108823519918	0.954635469738786	0.4044377373500726	0.6383522310271742	0.7023381521316173	1476
4	0.0	sym_max	fold	0.0271324746129733	0.82738598601386	4.168577264579599e-05	4.168577264579599e-05	4.168577264579599e-05	1476
4	0.0	sym_max	superfamily	0.4018895481590497	0.9096331114720324	0.0419911840412201	0.125804814808103	0.2231155083445752	1476
4	0.0	sym_mean	family	0.7932527435441903	0.954635469738786	0.4047486554135739	0.6461963395943807	0.7078075643636467	1491
4	0.0	sym_mean	fold	0.0303483150682463	0.827385986013863	4.168577264579599e-05	4.168577264579599e-05	4.168577264579599e-05	1491
4	0.0	sym_mean	superfamily	0.4092448603421107	0.9096331114720354	0.041885280734636	0.1248653158274869	0.2310642569152428	1491
4	0.0	sym_min	family	0.7940766193514188	0.9546354697387872	0.4057311211799798	0.6492088605570469	0.7147343249817858	1484
4	0.0	sym_min	fold	0.0319279077401723	0.8273859860138669	4.168577264579599e-05	4.168577264579599e-05	4.168577264579599e-05	1484
4	0.0	sym_min	superfamily	0.4109970401871971	0.9096331114720392	0.0418848918143501	0.1271532617423909	0.238259648649389	1484
0	0.1	Xa	family	0.7736860189014947	0.954162958455644	0.4273848407446677	0.6309954610528123	0.6928920718500304	1209
0	0.1	Xa	fold	0.0125233078297648	0.8186606583905321	4.225292601512655e-05	4.225292601512655e-05	4.225292601512655e-05	1209
0	0.1	Xa	superfamily	0.3798540750726661	0.9038053622225148	0.0558964543166126	0.1439896703429089	0.2093955648834372	1209
0	0.1	Xa_cov70	family	0.7312619766664643	0.954162958455646	0.43951412881126	0.6280588938029011	0.6786753658037818	1183
0	0.1	Xa_cov70	fold	0.0200866816216664	0.8186606583906337	4.225292601512655e-05	4.225292601512655e-05	4.225292601512655e-05	1183
0	0.1	Xa_cov70	superfamily	0.3628621427583473	0.9038053622225084	0.0433762610156681	0.1444464138373936	0.2022895034151152	1183
0	0.1	Xa_ktcov	family	0.7857959119761005	0.9541629584556448	0.4356579341434032	0.6458381608742519	0.7089605106895168	1202
0	0.1	Xa_ktcov	fold	0.0163220395074888	0.8186606583905127	4.225292601512655e-05	4.225292601512655e-05	4.225292601512655e-05	1202
0	0.1	Xa_ktcov	superfamily	0.399663853623138	0.9038053622225144	0.0556603437012742	0.1392178677324224	0.2184940917425739	1202
0	0.1	sym_max	family	0.7850331660606081	0.9541629584556448	0.4381029262035236	0.6464046517574364	0.7085469009771305	1208
0	0.1	sym_max	fold	0.0156529241757594	0.8186606583905298	4.225292601512655e-05	4.225292601512655e-05	4.225292601512655e-05	1208
0	0.1	sym_max	superfamily	0.3988560995863963	0.9038053622225164	0.056061306630857	0.141076921750378	0.2175253174107329	1208
0	0.1	sym_mean	family	0.7888035962599816	0.9541629584556448	0.4557815286556794	0.6491370066062344	0.7094343236184505	1214
0	0.1	sym_mean	fold	0.0174187032474157	0.8186606583905368	4.225292601512655e-05	4.225292601512655e-05	4.225292601512655e-05	1214
0	0.1	sym_mean	superfamily	0.4053646791373586	0.9038053622225196	0.0586908641049154	0.1402443642088955	0.2186755773570949	1214
0	0.1	sym_min	family	0.7906673898856508	0.9541629584556448	0.4563018438801619	0.648415536368563	0.712406732944998	1223
0	0.1	sym_min	fold	0.0186050211245529	0.8186606583905416	4.225292601512655e-05	4.225292601512655e-05	4.225292601512655e-05	1223
0	0.1	sym_min	superfamily	0.4086736737524302	0.9038053622225192	0.0593977901183208	0.1499901548341496	0.2245583870810511	1223
1	0.1	Xa	family	0.8147068042425125	0.9614991793099232	0.5589577254154072	0.707263249470912	0.7484865528751432	1966
1	0.1	Xa	fold	0.0192704037141639	0.8306613757833006	0.0001798480284159	0.0001798480284159	0.0004459919679559	1966
1	0.1	Xa	superfamily	0.4269346604979697	0.918413113905034	0.127969710218063	0.2311518807364187	0.281829257606237	1966
1	0.1	Xa_cov70	family	0.7579672281952919	0.9614991793099236	0.5784407586653327	0.6922452473729194	0.7183716190388023	1936
1	0.1	Xa_cov70	fold	0.026808429751923	0.8306613757831927	0.0001798480284159	0.0001798480284159	0.0004146548114894	1936
1	0.1	Xa_cov70	superfamily	0.4035631864457736	0.9184131139050372	0.1270311091116212	0.2301238881896327	0.292446553933163	1936
1	0.1	Xa_ktcov	family	0.8238329752705564	0.961499179309924	0.551739207946934	0.7253583546038367	0.7595800542015732	1937
1	0.1	Xa_ktcov	fold	0.0240860905763056	0.8306613757832425	0.0001348860213119	0.0001348860213119	0.0004459919679559	1937
1	0.1	Xa_ktcov	superfamily	0.4457820030139017	0.9184131139050336	0.1294393451381773	0.2382221422099503	0.3072106521098081	1937
1	0.1	sym_max	family	0.8251285679994291	0.961499179309924	0.5546214732198173	0.7229081870552274	0.7610925302581893	1946
1	0.1	sym_max	fold	0.0235118892041086	0.8306613757832693	0.0001348860213119	0.0001348860213119	0.0004773291244223	1946
1	0.1	sym_max	superfamily	0.4478722216672378	0.9184131139050346	0.1314646240043504	0.2375909323184089	0.3057987854664311	1946
1	0.1	sym_mean	family	0.8269920386684488	0.9614991793099236	0.5543733367563389	0.7276161339075584	0.7648066024253161	1931
1	0.1	sym_mean	fold	0.0254463761361757	0.8306613757832728	0.0001348860213119	0.0001348860213119	0.0005086662808887	1931
1	0.1	sym_mean	superfamily	0.4522775746799353	0.9184131139050372	0.1343958599146454	0.2396739440849366	0.3086610657780979	1931
1	0.1	sym_min	family	0.8269666407979821	0.9614991793099238	0.5545706209035475	0.7281009894179671	0.7663430155502938	1914
1	0.1	sym_min	fold	0.0265365025949464	0.8306613757832725	0.0001348860213119	0.0001348860213119	0.0005565829341738	1914
1	0.1	sym_min	superfamily	0.4530325695583456	0.918413113905037	0.1347170833204619	0.2412496398025876	0.3070649874448204	1914
2	0.1	Xa	family	0.7544046179937798	0.9536124700015904	0.4441421691777379	0.6168834325003789	0.6705708821341436	1104
2	0.1	Xa	fold	0.0149851491838095	0.8704769921228372	0.0	0.0	0.0	1104
2	0.1	Xa	superfamily	0.3411611602410737	0.9271034943471398	0.0320674296352925	0.0906646450325516	0.1681441591994507	1104
2	0.1	Xa_cov70	family	0.7119239345809676	0.9536124700015972	0.4514486518197533	0.6106400399377208	0.6519101519649387	1084
2	0.1	Xa_cov70	fold	0.0246236604398453	0.8704769921227854	0.0	0.0	0.0	1084
2	0.1	Xa_cov70	superfamily	0.3337373714481519	0.9271034943471006	0.029345520497278	0.1066233780290442	0.1731195639660445	1084
2	0.1	Xa_ktcov	family	0.7681687040129097	0.95361247000159	0.4485593693414492	0.6255161500836232	0.6848263820150323	1099
2	0.1	Xa_ktcov	fold	0.02050968082539	0.8704769921228004	0.0	0.0	0.0	1099
2	0.1	Xa_ktcov	superfamily	0.3642187658894407	0.9271034943471368	0.0316322730150437	0.1003271053886751	0.1717535252478281	1099
2	0.1	sym_max	family	0.7672514246471096	0.9536124700015906	0.4487217400928779	0.6252165138646733	0.6809545687037745	1108
2	0.1	sym_max	fold	0.0194349764879822	0.8704769921228113	0.0	0.0	0.0	1108
2	0.1	sym_max	superfamily	0.3623463700164579	0.9271034943471388	0.0296302533184525	0.0944202767038022	0.1754995894074023	1108
2	0.1	sym_mean	family	0.7712793198278494	0.9536124700015908	0.4587096497060104	0.626715486388583	0.6861186119049923	1107
2	0.1	sym_mean	fold	0.0218494095148058	0.8704769921228213	0.0	0.0	0.0	1107
2	0.1	sym_mean	superfamily	0.3695053143762027	0.9271034943471368	0.0302475133164407	0.0980974689475827	0.1876744093261877	1107
2	0.1	sym_min	family	0.7728652500899454	0.9536124700015912	0.4647933589856958	0.6286631376519167	0.6875082002415118	1113
2	0.1	sym_min	fold	0.0233454791989953	0.8704769921228297	0.0	0.0	0.0	1113
2	0.1	sym_min	superfamily	0.3725451990767345	0.9271034943471336	0.0310688718953133	0.1086718653701458	0.1913014519563055	1113
3	0.1	Xa	family	0.7824426416543743	0.9498506766053356	0.4328597834491264	0.6382817963723744	0.6998802363928104	1498
3	0.1	Xa	fold	0.0144556075499525	0.8195665288485093	4.018323555412682e-05	4.018323555412682e-05	4.018323555412682e-05	1498
3	0.1	Xa	superfamily	0.3812221095407306	0.9028496086758832	0.0591462388834597	0.1367792422512326	0.2039071539626657	1498
3	0.1	Xa_cov70	family	0.7461992104053239	0.9498506766053384	0.4474856230942315	0.6397197184170879	0.6919230438291654	1472
3	0.1	Xa_cov70	fold	0.0241253417367124	0.8195665288484362	4.018323555412682e-05	4.018323555412682e-05	4.018323555412682e-05	1472
3	0.1	Xa_cov70	superfamily	0.3724533026299871	0.9028496086758728	0.052116304781574	0.1380865173951505	0.2008076271568139	1472
3	0.1	Xa_ktcov	family	0.7963081487173985	0.9498506766053356	0.439381104157551	0.6484354689965767	0.7178564993486649	1487
3	0.1	Xa_ktcov	fold	0.0193390136331305	0.8195665288484656	4.018323555412682e-05	4.018323555412682e-05	4.018323555412682e-05	1487
3	0.1	Xa_ktcov	superfamily	0.4051443193946956	0.9028496086758832	0.0596637484331721	0.1321318625159458	0.2184577385533328	1487
3	0.1	sym_max	family	0.795982488516872	0.9498506766053356	0.4428841949188991	0.6480001563833907	0.7156625682890939	1496
3	0.1	sym_max	fold	0.01875967813719	0.819566528848487	4.018323555412682e-05	4.018323555412682e-05	4.018323555412682e-05	1496
3	0.1	sym_max	superfamily	0.4051022778360918	0.9028496086758848	0.0579085619615592	0.1350753177600934	0.2117196416060122	1496
3	0.1	sym_mean	family	0.8000648646604723	0.9498506766053352	0.4584423850267992	0.6512365410060967	0.7175258397947818	1499
3	0.1	sym_mean	fold	0.021174233485146	0.8195665288484875	4.018323555412682e-05	4.018323555412682e-05	4.018323555412682e-05	1499
3	0.1	sym_mean	superfamily	0.4122667574765482	0.9028496086758856	0.0597343896670822	0.13547089054495	0.2139365751109919	1499
3	0.1	sym_min	family	0.8018457261876077	0.9498506766053352	0.4625141783437099	0.6504113909380578	0.7219281425878521	1513
3	0.1	sym_min	fold	0.0226099780689019	0.819566528848492	4.018323555412682e-05	4.018323555412682e-05	4.018323555412682e-05	1513
3	0.1	sym_min	superfamily	0.4151762122671084	0.9028496086758848	0.0598651905812079	0.1430959125752826	0.2163162199353706	1513
4	0.1	Xa	family	0.7869099555997628	0.9546354697387792	0.4568923728025127	0.6423843003826919	0.6998982353050635	1563
