cv_fold	a	k_lin	k_sym
2	0.825	0.0133555409387375	0.0136387084033357
3	0.825	0.0131352287598375	0.0133503227209557
4	0.825	0.0139556770502354	0.0143926962351966
0	0.85	0.0126636540587155	0.0127878035792956
1	0.85	0.0122453127598062	0.0126741187995474
2	0.85	0.0124748038596924	0.0127428348941747
3	0.85	0.0123057387197311	0.0125132465688744
4	0.85	0.0130369605040994	0.0134436480038994
0	0.875	0.0118270505051744	0.0119514745990641
1	0.875	0.0114642370456177	0.0118628760247942
2	0.875	0.0116658877773947	0.0119196565149735
3	0.875	0.0115405771835806	0.0117405831472825
4	0.875	0.0121917275045317	0.0125708818758409
0	0.9	0.0110569858522393	0.0111808841166595
1	0.9	0.0107423823288033	0.0111135548598661
2	0.9	0.0109211323053203	0.0111614465096563
3	0.9	0.0108328779617965	0.0110254556418348
4	0.9	0.0114122489088569	0.0117663078986743
0	0.925	0.0103468511408421	0.0104695652554309
1	0.925	0.0100739291154481	0.0104200546024461
2	0.925	0.0102338608563086	0.0104614822899307
3	0.925	0.0101767080007562	0.0103619396217128
4	0.925	0.0106918143303581	0.0110229165930047
0	0.95	0.0096908115686867	0.009811804367609
1	0.95	0.0094538065522852	0.009777051559533
2	0.95	0.0095982607250787	0.0098139165219815
3	0.95	0.0095669410098595	0.0097449293398749
4	0.95	0.0100245945250181	0.0103346301424168
0	0.975	0.0090837073000227	0.0092025439494408
1	0.975	0.0088775772395532	0.0091798808130678
2	0.975	0.0090092637091877	0.0092136493428785
3	0.975	0.0089991367655443	0.0091700115988847
4	0.975	0.0094055074387252	0.0096961586025674
0	1.0	0.008520983675087	0.0086373152976082
1	1.0	0.0083413532400826	0.0086244509913731
2	1.0	0.0084624554105212	0.0086562324605289
3	1.0	0.0084694509198183	0.0086333716539612
4	1.0	0.0088301189701076	0.0091028924316467
0	1.1	0.0066397660364332	0.0067438601413975
1	1.1	0.0065334952376799	0.0067538036391134
2	1.1	0.0066265588076459	0.006783710357674
3	1.1	0.0066710577746416	0.0068092731257756
4	1.1	0.006894338667415	0.0071079425645975
0	1.2	0.0052159838761442	0.005306379080513
1	1.2	0.0051503314463991	0.0053243167965251
2	1.2	0.0052270227487245	0.0053549461905373
3	1.2	0.0052784806616235	0.0053947824657163
4	1.2	0.0054164485459215	0.0055857837075521
0	1.3	0.0041236552230461	0.0042007131367091
1	1.3	0.0040821208908745	0.0042207243859515
2	1.3	0.0041463467123835	0.0042506970750761
3	1.3	0.0041925589409756	0.0042900393046185
4	1.3	0.0042771232856678	0.0044125223619463
0	1.4	0.0032790863569541	0.0033439724445751
1	1.4	0.0032533657953042	0.0033644899019233
2	1.4	0.0033065759288382	0.0033920201570638
3	1.4	0.0033442610578603	0.0034256129048825
4	1.4	0.0033951644452556	0.0035040856441322
0	1.5	0.0026237679503127	0.0026780142220276
1	1.5	0.0026091144832247	0.0026991947262485
2	1.5	0.0026531227469434	0.0027235657547753
3	1.5	0.0026811922041588	0.0027492993779099
4	1.5	0.0027114262469487	0.0027996985696339
